GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_hvalue,pct_noins,pct_poverty
1400000US06037101110,6037101110,60.2,4.8,,"41,577","4,500",71,1.9,7.3,19.8,"1,669",152300,,13.1
1400000US06037101120,6037101120,60.3,2,,"53,481","3,280",81.4,1.8,5.9,10.9,"1,232",240000,,3.9
1400000US06037101210,6037101210,56.4,8.7,,"31,481","6,066",56.5,5.7,5.6,32.2,"2,194",137800,,26.3
1400000US06037101220,6037101220,55.1,7,,"27,585","3,028",66.6,1.9,5.4,26.1,"1,258",143500,,20.5
1400000US06037101300,6037101300,59.2,3,,"61,471","3,974",84.8,0.6,6.6,8,"1,527",229400,,3.5
1400000US06037101400,6037101400,62.1,5.1,,"49,167","3,760",79.4,1.1,6.3,13.2,"1,454",220400,,3.4
1400000US06037102101,6037102101,53.4,4.6,,"51,859","3,387",77,2,5.4,15.6,"1,134",263700,,17.4
1400000US06037102102,6037102102,56.8,5.8,,"63,958","6,739",69.5,2.1,10.1,18.3,"2,423",199600,,8.1
1400000US06037103101,6037103101,62.2,3,,"59,861","2,610",79.2,0.8,8.4,11.6,943,201800,,3
1400000US06037103102,6037103102,60.2,3.4,,"48,485","4,462",72.1,0.6,8.4,18.9,"1,638",161700,,7.8
1400000US06037103200,6037103200,55.9,4.7,,"54,423","5,484",74.1,6.3,6.8,12.8,"2,052",212600,,10.1
1400000US06037103300,6037103300,65,1.5,,"73,884","3,739",86.1,1.1,3,9.8,"1,450",330000,,8.1
1400000US06037103400,6037103400,63.4,1.8,,"47,205","6,209",76.6,1.6,6.1,15.7,"2,511",183100,,10.3
1400000US06037104103,6037104103,54.4,8,,"56,823","3,840",32.4,20.7,5.5,41.4,798,160900,,12.8
1400000US06037104104,6037104104,57.1,5.1,,"52,609","3,507",44.2,21.7,6.2,27.9,939,159100,,15.5
1400000US06037104105,6037104105,54.6,6,,"33,641","5,233",37.6,11.9,5.7,44.8,"1,399",129900,,23.8
1400000US06037104106,6037104106,53,2.9,,"35,236","4,886",34.6,21.3,2.9,41.2,"1,232",156500,,19.3
1400000US06037104107,6037104107,62.2,7,,"46,042",552,73.4,8.9,2.4,15.3,239,175800,,6.1
1400000US06037104201,6037104201,48.1,4.4,,"43,417","4,787",31.3,14.7,0.2,53.8,895,137600,,20.5
1400000US06037104202,6037104202,49.8,6.1,,"36,683","7,809",36.6,14.5,3,45.9,"1,756",148600,,20
1400000US06037104310,6037104310,41.8,5.1,,"38,984","3,176",29.8,11.4,0.5,58.3,561,143500,,20.8
1400000US06037104320,6037104320,44,7.9,,"37,125","5,695",34.8,10.1,1.3,53.8,"1,261",138900,,17.7
1400000US06037104401,6037104401,43.8,6.4,,"42,986","4,584",36.7,0.9,0.7,61.7,876,144900,,9.7
1400000US06037104402,6037104402,49.6,4,,"36,557","5,012",40.6,0.8,0.3,58.3,"1,001",140500,,21.1
1400000US06037104500,6037104500,50.3,5.1,,"42,944","4,847",33.5,1.1,0.9,64.5,987,142800,,26.4
1400000US06037104610,6037104610,48.9,6.6,,"35,846","3,600",40.2,0.3,1.1,58.4,788,136100,,28.3
1400000US06037104620,6037104620,45.8,6.9,,"34,524","3,417",39,0.4,0.5,60.1,692,137100,,21.4
1400000US06037104701,6037104701,36.2,8.5,,"20,523","4,168",35.2,3.5,0.2,61.1,868,135300,,48.6
1400000US06037104702,6037104702,54.1,6.2,,"32,208","6,262",36.1,15.4,1.4,47.1,"1,701",141000,,25.6
1400000US06037104810,6037104810,53.3,3.8,,"41,023","5,101",38.6,1.2,2,58.2,"1,116",134000,,14.2
1400000US06037104820,6037104820,44.4,5.3,,"30,870","5,389",38.3,1.2,4.7,55.8,"1,269",154200,,21.4
1400000US06037106010,6037106010,63.8,4.8,,"50,714","4,139",53.3,8.7,4.1,33.9,"1,338",200600,,8.6
1400000US06037106020,6037106020,63.6,3.8,,"55,282","5,817",49.4,3.4,3.6,43.6,"1,579",173400,,12.1
1400000US06037106111,6037106111,61.6,3,,"59,494","3,869",57.7,4.7,5.5,32.1,"1,201",180100,,6.2
1400000US06037106112,6037106112,60.5,3,,"56,030","4,753",49.4,3.7,1.7,45.2,"1,212",158600,,6.5
1400000US06037106113,6037106113,57,4.7,,"57,466","3,084",54.3,3.8,3.5,38.4,811,164200,,7.9
1400000US06037106114,6037106114,54.5,6.8,,"38,176","5,136",41.3,5.8,2.5,50.4,"1,450",125500,,15.1
1400000US06037106402,6037106402,51,4.2,,"50,401","6,817",60.2,4.5,3.6,31.7,"2,241",181100,,14.5
1400000US06037106403,6037106403,49.1,4.4,,"51,176","3,619",52.6,0.9,1.5,45,825,151000,,7.5
1400000US06037106404,6037106404,48,6.6,,"30,452","4,833",45.6,9.2,3.4,41.8,"1,305",103300,,25.9
1400000US06037106510,6037106510,48.5,6,,"58,750","3,651",61.5,12.2,4.5,21.8,"1,000",242700,,8.1
1400000US06037106520,6037106520,47.1,7.7,,"44,267","5,717",53.4,1.9,0.8,43.9,"1,421",152500,,13.3
1400000US06037106602,6037106602,59.7,2.7,,"76,965","5,536",71,3.4,15.7,9.9,"2,000",280000,,4.6
1400000US06037106603,6037106603,64.7,2.1,,"100,724","3,051",63.8,3.1,25.1,8,977,343900,,4.6
1400000US06037106604,6037106604,53.5,3.9,,"50,054","4,861",42.3,2.9,7.9,46.9,"1,210",177700,,17.3
1400000US06037106605,6037106605,56.8,3.8,,"53,148","5,818",39.5,3.5,6.8,50.2,"1,415",174200,,14.5
1400000US06037106606,6037106606,0,0,,0,317,96.5,1.3,1.3,0.9,3,0,,0
1400000US06037106641,6037106641,62.4,3.1,,"88,122","2,335",71.5,2.7,16.8,9,784,295000,,1.1
1400000US06037106642,6037106642,65.7,1.8,,"70,603","2,881",76.4,3.8,10.8,9,"1,011",270100,,3
1400000US06037106643,6037106643,62.3,1.4,,"108,496","3,747",70.9,3.8,18,7.3,"1,161",473000,,4.6
1400000US06037107010,6037107010,52.2,2.5,,"41,658","3,225",42.9,1,1.4,54.7,669,153100,,19.1
1400000US06037107020,6037107020,48.9,5.8,,"46,786","4,299",37.4,1.8,1.5,59.3,982,150300,,14.1
1400000US06037108101,6037108101,61.5,3.3,,"63,125","2,251",71.4,1.5,21.5,5.6,796,310400,,3.8
1400000US06037108102,6037108102,66.4,3.4,,"86,756","3,527",66.3,1.8,26.4,5.5,"1,271",337100,,3.4
1400000US06037108103,6037108103,64.4,1.6,,"110,434","3,508",60.7,1,32.6,5.7,"1,073",446600,,1.2
1400000US06037108104,6037108104,69.3,2.7,,"109,746","1,716",72.3,3,19.9,4.8,580,338100,,1.3
1400000US06037108200,6037108200,65.9,3.2,,"101,044","4,838",50.7,2.3,42.4,4.6,"1,659",360700,,1
1400000US06037109100,6037109100,56.8,3.7,,"53,750","2,450",47.8,2.5,9.8,39.9,613,178800,,15.9
1400000US06037109200,6037109200,63.5,4.4,,"63,625","3,111",61.9,4.3,15.2,18.6,934,196600,,6
1400000US06037109300,6037109300,55.1,1.6,,"58,077","3,408",66.2,3.1,11.8,18.9,"1,147",182200,,1.5
1400000US06037109400,6037109400,57.5,3.6,,"51,178","4,873",48.2,3.1,7.1,41.6,"1,392",168800,,9.9
1400000US06037109500,6037109500,55.5,2.5,,"40,635","2,870",40.8,1.3,1.5,56.4,703,145900,,20.4
1400000US06037109601,6037109601,65.7,5.5,,"60,104","3,302",51.5,4.6,11.4,32.5,913,181700,,6
1400000US06037109602,6037109602,53.4,4.9,,"55,759","4,114",54.4,4.7,12.7,28.2,"1,357",182800,,9.6
1400000US06037109700,6037109700,59,4.1,,"58,424","4,088",59.8,3.6,15,21.6,"1,400",189900,,10
1400000US06037109800,6037109800,60.1,5,,"49,226","5,543",58.5,3.2,14.1,24.2,"1,828",186200,,11.3
1400000US06037111100,6037111100,63.7,2.7,,"62,321","5,346",61.9,4,14.3,19.8,"1,722",196300,,8.2
1400000US06037111201,6037111201,54.9,3.2,,"61,742","2,556",72.1,2.7,12.8,12.4,839,256300,,7
1400000US06037111202,6037111202,62.1,2.1,,"54,444","4,795",70.1,2.8,13.7,13.4,"1,773",211400,,6.4
1400000US06037111203,6037111203,59.1,4.3,,"68,622","6,562",70.5,2.7,19,7.8,"2,328",272200,,6.5
1400000US06037111204,6037111204,60.1,2.3,,"104,832","5,756",76,2.3,16.8,4.9,"1,933",371500,,3.3
1400000US06037111301,6037111301,66.1,4.5,,"44,028","6,714",58.7,6.4,19.8,15.1,"2,727",212700,,11.7
1400000US06037111302,6037111302,62.2,3.1,,"49,907","5,269",67.5,5,16.6,10.9,"2,183",263300,,6.7
1400000US06037111400,6037111400,60.3,3.1,,"46,842","7,132",59.8,4.4,19.5,16.3,"2,657",220300,,12.7
1400000US06037113100,6037113100,62.5,2.4,,"93,392","6,244",81.2,2.3,10.2,6.3,"2,053",360300,,6.2
1400000US06037113202,6037113202,66.7,4.3,,"59,231","4,623",80.2,2.3,10.4,7.1,"1,965",294000,,7.4
1400000US06037113211,6037113211,60.7,2.4,,"69,837","3,839",83.8,2,8.9,5.3,"1,585",218700,,3.4
1400000US06037113212,6037113212,65.5,3.2,,"66,130","3,050",70.1,3.5,17.6,8.8,"1,089",234500,,4.5
1400000US06037113213,6037113213,65.4,3,,"57,558","4,394",67.6,2.9,19.1,10.4,"1,662",233800,,3.9
1400000US06037113231,6037113231,58.5,4.3,,"82,680","2,103",80.6,2.6,9.8,7,783,291900,,3
1400000US06037113232,6037113232,62.8,2.6,,"66,731","3,907",77.7,3.6,10,8.7,"1,353",293200,,3.2
1400000US06037113233,6037113233,57.5,3.5,,"33,929","6,222",52.5,7.6,9.2,30.7,"2,367",190400,,17.4
1400000US06037113234,6037113234,52.4,3.4,,"29,028","4,224",54.7,3.3,13.1,28.9,"1,506",203700,,22.5
1400000US06037113301,6037113301,58.9,4.4,,"110,360","1,915",81.2,2.7,11,5.1,644,413600,,2.7
1400000US06037113303,6037113303,56,4.7,,"57,355","3,855",75.4,2.4,10.9,11.3,"1,418",230800,,8.3
1400000US06037113321,6037113321,70.7,3.6,,"45,906","5,385",58.9,5.2,19,16.9,"2,358",162200,,5.2
1400000US06037113322,6037113322,64.4,3.1,,"76,041","3,917",74.7,2.9,16.5,5.9,"1,360",278100,,5.1
1400000US06037113401,6037113401,68.8,4.8,,"64,355","5,037",59.3,3.6,15.7,21.4,"1,657",194900,,7.3
1400000US06037113421,6037113421,65.3,4.4,,"40,549","5,713",49.4,7,11.2,32.4,"2,033",187500,,15.6
1400000US06037113422,6037113422,63,3.5,,"48,906","5,948",53.4,6.7,16.5,23.4,"2,178",182800,,15.1
1400000US06037115101,6037115101,64.5,3.2,,"100,681","4,771",82.2,1.8,9.1,6.9,"1,705",405900,,5.7
1400000US06037115102,6037115102,39.8,36.9,,"41,267","5,639",52.5,14.8,18,14.7,"1,519",308900,,22.1
1400000US06037115201,6037115201,65.1,4.6,,"37,284","5,728",57,6.4,21.4,15.2,"2,724",249900,,19
1400000US06037115202,6037115202,62.8,8,,"42,463","4,674",55.7,7.4,19.2,17.7,"1,913",199500,,16.9
1400000US06037115301,6037115301,58.8,3,,"56,799","3,636",73.9,4,13.9,8.2,"1,537",304200,,7.1
1400000US06037115302,6037115302,49.6,6.8,,"30,417","4,802",41,1.6,6.4,51,"1,024",190200,,42.9
1400000US06037115401,6037115401,66.5,2.8,,"42,583","5,489",56.8,6.7,12.4,24.1,"2,026",305700,,13.6
1400000US06037115402,6037115402,63.1,4.3,,"37,321","6,010",47.9,6.8,12.3,33,"1,882",195300,,19.5
1400000US06037117100,6037117100,60.2,5.9,,"47,108","6,242",38.9,6.4,25.6,29.1,"1,885",176100,,16.3
1400000US06037117200,6037117200,51.7,4.2,,"45,305","5,982",54.1,4.4,15.9,25.6,"1,743",218500,,18
1400000US06037117301,6037117301,59.3,2.7,,"56,371","3,585",70.7,4.6,11.1,13.6,"1,236",210800,,7.8
1400000US06037117302,6037117302,61.1,3.6,,"65,577","4,613",72.2,3.4,14.2,10.2,"1,733",243600,,7.4
1400000US06037117303,6037117303,58.2,5.8,,"56,927","3,153",68.8,3.6,12.9,14.7,"1,030",207200,,8.9
1400000US06037117404,6037117404,59,3.5,,"56,779","3,965",62.4,5.4,15,17.2,"1,321",219500,,13.7
1400000US06037117405,6037117405,60.2,6.4,,"25,545","3,553",45,2,1.6,51.4,768,97900,,42.6
1400000US06037117406,6037117406,53.5,6.3,,"24,828","6,894",47.4,5.2,3.9,43.5,"1,744",170800,,38.5
1400000US06037117510,6037117510,42.5,10.6,,"22,181","4,136",30.6,6.3,9.6,53.5,"1,083",123500,,42.3
1400000US06037117520,6037117520,55.5,4.6,,"25,515","3,762",34.4,7.5,5.2,52.9,905,162800,,33.3
1400000US06037117530,6037117530,54.3,5.8,,"30,231","5,518",35.8,6.1,10.2,47.9,"1,455",105700,,27.9
1400000US06037119000,6037119000,56.9,4.7,,"49,500","6,036",40.2,1.3,9.9,48.6,"1,416",153300,,15.1
1400000US06037119100,6037119100,52.6,4.4,,"42,472","4,911",33.5,1.9,4.3,60.3,"1,062",139800,,18.6
1400000US06037119200,6037119200,51.2,4.9,,"43,417","4,039",36.3,2.9,7,53.8,964,157900,,12
1400000US06037119310,6037119310,52.4,5.9,,"40,025","3,152",35,8.9,15.4,40.7,889,99200,,11.2
1400000US06037119320,6037119320,48.9,3.1,,"37,098","3,812",36.9,8,8.7,46.4,937,153100,,21.5
1400000US06037119330,6037119330,52.1,6.1,,"32,021","5,824",33,5.3,19.2,42.5,"1,486",115400,,19.7
1400000US06037119340,6037119340,53.5,5.5,,"24,805","6,864",37,5.3,6.4,51.3,"1,906",149400,,34.6
1400000US06037119400,6037119400,51.7,5.4,,"50,556","6,726",39.9,2.2,8.3,49.6,"1,550",152700,,7.2
1400000US06037119700,6037119700,60.8,3.6,,"55,417","4,666",38.2,2,28.6,31.2,"1,242",163100,,7.5
1400000US06037119800,6037119800,54.6,4.9,,"46,375","5,714",37.6,1.8,13.6,47,"1,413",154900,,13.7
1400000US06037119900,6037119900,50.7,3.8,,"47,426","6,065",41.1,2,23.5,33.4,"1,642",153000,,11.4
1400000US06037120010,6037120010,51.5,7.3,,"36,014","3,384",34.9,2.4,7.9,54.8,903,140800,,25
1400000US06037120020,6037120020,52.1,3.7,,"31,700","4,257",29.8,3.7,11.1,55.4,"1,124",161200,,27.5
1400000US06037120030,6037120030,54.3,6.5,,"23,190","2,852",24.3,1.2,2.8,71.7,668,142700,,44.3
1400000US06037120101,6037120101,53.3,9.3,,"28,201","7,527",34.9,6.7,6.1,52.3,"2,143",160100,,31.7
1400000US06037120102,6037120102,51.5,4.1,,"26,969","10,941",30.7,4.6,5.8,58.9,"2,881",113900,,29.6
1400000US06037120300,6037120300,59.4,5.7,,"44,519","4,982",45.8,2.3,18.7,33.2,"1,426",145800,,10.5
1400000US06037120400,6037120400,57.2,4.4,,"36,956","5,575",43.6,6.4,16.6,33.4,"1,952",169100,,16.2
1400000US06037121010,6037121010,48,7.3,,"44,250","4,535",49.8,1.8,10.7,37.7,"1,247",165600,,9.8
1400000US06037121020,6037121020,58.5,2.5,,"45,551","3,795",47.7,2,9.3,41,"1,005",157300,,16.1
1400000US06037121100,6037121100,58.2,5.8,,"47,227","4,315",50.8,1.7,7.2,40.3,"1,284",155000,,22.1
1400000US06037121210,6037121210,47.5,6.9,,"32,841","4,853",43.5,2.5,7.6,46.4,"1,179",156400,,25.9
1400000US06037121220,6037121220,48.4,10.5,,"43,276","4,110",44,0.8,6.3,48.9,940,157100,,21.2
1400000US06037121600,6037121600,53.1,1.3,,"58,162","2,841",52,2.5,25.5,20,821,186200,,5.1
1400000US06037121800,6037121800,45.1,8.5,,"34,918","7,451",44.8,4.1,6.3,44.8,"1,829",153600,,21.5
1400000US06037121900,6037121900,45.8,3.7,,"31,635","4,262",45.4,1.3,7.3,46,"1,144",161700,,19.6
